infinite,0.250000,0.334584,0.748473
infinite,0.350000,0.534733,0.651795
infinite,0.450000,0.819762,0.549426
infinite,0.550000,1.236147,0.447839
infinite,0.650000,1.863026,0.347606
infinite,0.750000,3.020978,0.250924
infinite,0.850000,5.580818,0.149989
infinite,0.950000,18.310787,0.051943
infinite,1.200000,50318.771389,0.000003
finite,0.500000,0.996598,0.501209,0.000592,10
finite,0.600000,1.458037,0.402246,0.002658,10
finite,0.700000,2.101770,0.305834,0.008259,10
finite,0.800000,2.921072,0.221992,0.022392,10
finite,0.900000,3.945044,0.147803,0.050315,10
finite,1.000000,4.975728,0.092609,0.090249,10
finite,1.100000,5.945691,0.053939,0.140664,10
finite,1.200000,6.703802,0.031302,0.191976,10
finite,1.300000,7.306454,0.018087,0.242269,10
finite,1.400000,7.803291,0.009328,0.294539,10
finite,0.500000,0.994759,0.500994,0.000000,25
finite,0.600000,1.475180,0.402227,0.000000,25
finite,0.700000,2.335778,0.300416,0.000043,25
finite,0.800000,3.919334,0.202099,0.000804,25
finite,0.900000,7.116872,0.108298,0.007580,25
finite,1.000000,12.537845,0.038211,0.038889,25
finite,1.100000,17.385679,0.008753,0.099476,25
finite,1.200000,20.188115,0.001804,0.166395,25
finite,1.300000,21.679540,0.000415,0.230334,25
finite,1.400000,22.513294,0.000060,0.287102,25
finite,0.500000,1.000416,0.499845,0.000000,50
finite,0.600000,1.496170,0.400155,0.000000,50
finite,0.700000,2.317874,0.301785,0.000000,50
finite,0.800000,4.040620,0.200435,0.000048,50
finite,0.900000,8.694829,0.099345,0.000441,50
finite,1.000000,24.407641,0.019303,0.017341,50
finite,1.100000,40.177058,0.000547,0.090806,50
finite,1.200000,45.007119,0.000037,0.166200,50
finite,1.300000,46.650206,0.000007,0.230535,50
finite,1.400000,47.502717,0.000007,0.285144,50
