Type,ro,avg,idle,ploss
finite,0.5,0.996598,0.501209,0.000592
finite,0.6,1.458037,0.402246,0.002658
finite,0.7,2.10177,0.305834,0.008259
finite,0.8,2.921072,0.221992,0.022392
finite,0.9,3.945044,0.147803,0.050315
finite,1.0,4.975728,0.092609,0.090249
finite,1.1,5.945691,0.053939,0.140664
finite,1.2,6.703802,0.031302,0.191976
finite,1.3,7.306454,0.018087,0.242269
finite,1.4,7.803291,0.009328,0.294539
