Type,ro,avg,idle,ploss
finite,0.5,1.000416,0.499845,0.0
finite,0.6,1.49617,0.400155,0.0
finite,0.7,2.317874,0.301785,0.0
finite,0.8,4.04062,0.200435,4.8e-05
finite,0.9,8.694829,0.099345,0.000441
finite,1.0,24.407641,0.019303,0.017341
finite,1.1,40.177058,0.000547,0.090806
finite,1.2,45.007119,3.7e-05,0.1662
finite,1.3,46.650206,7e-06,0.230535
finite,1.4,47.502717,7e-06,0.285144
